Found 570 ships
<47.98365°N 4.706133°W @ 2013-10-01T04:08:00
<47.97953°N 4.6679°W @ 2013-10-01T04:18:00
<47.9701°N 4.62835°W @ 2013-10-01T04:29:00
<47.9622°N 4.596817°W @ 2013-10-01T04:37:00
<47.95177°N 4.558567°W @ 2013-10-01T04:48:00
<47.94227°N 4.530083°W @ 2013-10-01T04:56:00
<47.89598°N 4.445883°W @ 2013-10-01T05:28:00
<47.89532°N 4.44585°W @ 2013-10-01T05:39:00
<47.8954°N 4.445734°W @ 2013-10-01T05:56:00
<47.8875°N 4.443517°W @ 2013-10-01T06:09:00
<47.87322°N 4.434733°W @ 2013-10-01T06:17:00
<47.86382°N 4.434566°W @ 2013-10-01T06:28:00
<47.8425°N 4.425317°W @ 2013-10-01T06:37:00
<47.81922°N 4.403067°W @ 2013-10-01T06:49:00
<47.81092°N 4.3825°W @ 2013-10-01T06:58:00
<47.8158°N 4.38125°W @ 2013-10-01T07:04:00
<47.8158°N 4.38125°W @ 2013-10-01T07:13:00
<47.8158°N 4.381267°W @ 2013-10-01T07:23:00
<47.81578°N 4.38125°W @ 2013-10-01T07:34:00
<47.8158°N 4.381283°W @ 2013-10-01T07:43:00
<47.8158°N 4.38125°W @ 2013-10-01T07:52:00
<47.8158°N 4.38125°W @ 2013-10-01T08:20:00
<47.81557°N 4.381317°W @ 2013-10-01T08:39:00
<47.81565°N 4.381017°W @ 2013-10-01T17:19:00
<47.81562°N 4.381183°W @ 2013-10-01T17:21:00
<47.83985°N 4.456917°W @ 2013-10-01T17:48:00
<47.85198°N 4.48085°W @ 2013-10-01T17:56:00
<47.9292°N 4.4538°W @ 2013-10-01T18:39:00
<47.92533°N 4.42785°W @ 2013-10-01T18:49:00
<47.92563°N 4.428884°W @ 2013-10-01T18:57:00
<47.92683°N 4.429584°W @ 2013-10-01T19:08:00
<47.92825°N 4.430067°W @ 2013-10-01T19:16:00
<47.9361°N 4.444617°W @ 2013-10-01T19:29:00
<47.95288°N 4.46855°W @ 2013-10-01T19:39:00
<47.96422°N 4.49865°W @ 2013-10-01T19:48:00
<47.97152°N 4.537533°W @ 2013-10-01T19:58:00
<47.98167°N 4.574317°W @ 2013-10-01T20:08:00
<47.98527°N 4.607617°W @ 2013-10-01T20:17:00
<47.98437°N 4.649783°W @ 2013-10-01T20:28:00
<47.98682°N 4.69255°W @ 2013-10-01T20:38:00
<47.9882°N 4.735167°W @ 2013-10-01T20:49:00
<47.9873°N 4.769817°W @ 2013-10-01T20:58:00
<47.98583°N 4.804117°W @ 2013-10-01T21:07:00
<47.987°N 4.824833°W @ 2013-10-01T21:17:00
<47.98895°N 4.824367°W @ 2013-10-01T21:27:00
